ItemId,V1,V2,V3
9AF5AA,8366,7.496452457140212,2041
960857,10416,7.686799576987899,1247
3FC7E9,1670,7.635397095919421,1248
2446C9,4372,7.618585321381659,973
55BCF8,3244,7.562019865381813,3001
40D1D6,477,7.514898084709321,2290
44569A,10628,7.8245981144257675,327
48DF1B,11283,7.513603517999596,207
2645A1,2641,7.52195376511145,2319
20FC2D,616,7.7913343277571,2517
2AADA9,2611,7.6960068556902685,911
3E3202,127,7.673818461409373,542
2D1466,11359,7.650861934490445,1369
5F9C1B,10129,7.6892714527075015,1836
C2BC4F,5192,7.427454650996486,1294
A88195,7716,7.635653111949517,426
83E3BA,10671,7.550593595101943,1513
C3282F,6616,7.695382103246766,2396
F5302C,6181,7.644462211948363,697
0EBA8A,12332,7.680063206997422,2204
BD42C1,12126,7.766790530677171,2782
8F8BB4,1877,7.6308264748410615,2446
2494EC,5085,7.648270688316668,653
4CA4D8,8572,7.57621985557783,1245
AF6804,10837,7.579662938297031,2494
9F44B9,6887,7.4120230876549025,69
E4804C,10392,7.54961734857375,2805
36D5D6,8765,7.940789813232523,254
220C5F,7990,7.411716092847329,254
846AB0,1553,7.668023286947269,2517
DF8FF0,97,7.713619016541263,2336
687A3A,11575,7.767029411516114,327
EEB6E1,9095,7.555511961368562,1700
A7CA42,3457,7.612980504209694,1105
12A09A,1975,7.6513023693713755,1105
179EF9,10487,7.670944129365788,1105
D1A881,8373,7.7687793734035795,79
20B441,4637,7.620358881083552,1649
20704F,7197,7.589223413204414,254
8790DF,1018,7.550734709706393,1256
C67100,5947,7.535661728266144,227
204BC1,5478,7.7574809501498745,260
F5FCE4,3019,7.474403121044209,998
D99A6F,722,7.6089679651504065,1253
800E0A,2794,7.61908277785699,261
E20BBA,8507,7.618018775376019,2207
CABDDC,2791,7.566167693336772,261
60AE73,9628,7.6984079267661025,327
47BF8D,5097,7.565602657764069,327
1A5F68,8029,7.760887353371834,697
93CFA8,7302,7.704964654728549,2807
E5DEE3,12238,7.700628226893315,2864
