UserId,ItemId,rating
A22818,70621F,0.0
36B488,16553B,0.0
AB1C55,035CDE,0.0
9FEADA,ABE1FA,0.0
3C5A14,D96304,4.0
F302A9,CCFDDC,0.0
B85388,13B36E,0.0
D6B75B,A73D83,0.0
DCC1A9,7DA826,4.0
00BB6C,6057AD,0.0
6FA6FC,A1539A,2.0
AD8C00,337D33,0.0
C8792C,6B3035,4.5
10E2C7,A96230,4.0
166CD6,71CAA7,0.0
56D41C,471941,0.0
9F334C,F0E6DF,0.0
227146,7BF7FE,0.0
677346,6A3784,3.0
FF3AF3,F7B3EB,2.5
6241D9,E4804C,0.0
A04324,EFE260,0.0
58E97E,0132A4,0.0
6397E4,6C656E,0.0
DB6235,99D66F,0.0
17F94C,1A1870,0.0
EC03CD,77AC01,4.5
1649EE,3193D6,5.0
D6B75B,0060F7,0.0
24E644,83EE83,0.0
B85388,E53436,0.0
EBFAB7,75677B,0.0
1872BA,D871DF,0.0
8283F9,12CDBD,0.0
162A38,BCDEF1,0.0
0856F0,02E285,0.0
F70478,4580E1,0.0
296F00,C31591,0.0
B97E0E,20704F,0.0
B85388,670312,0.0
6397E4,172801,0.0
166CD6,32F911,5.0
0DD097,475482,0.0
D6B75B,A264DB,0.0
A77DCA,DF27A7,3.5
A23596,757EDB,5.0
05D29C,059419,0.0
7F3543,6FAB88,3.5
EF4110,AFD002,0.0
5D2554,501567,4.0
BDAC2D,DC1E94,0.0
8F53FD,DD0338,4.5
7D2940,7C6B14,2.5
990AEE,8EE2DD,3.0
670C67,1F5EB0,0.0
BCF2F8,5E5A21,5.0
DD1276,84E1E9,0.0
07CC81,BD5E55,4.5
D3667D,A7CF8D,3.0
0FB48D,C9F4DB,0.0
17F94C,C7241C,0.0
7BA545,FCB29A,0.0
D758E1,93804F,0.0
6397E4,36E316,0.0
961847,CCE665,2.5
2D3D55,587C12,4.0
F4515F,493D80,0.0
57849A,887ACC,5.0
A397E9,F4871B,4.0
57849A,E6852D,0.0
38339B,6AF045,4.5
638814,DCD033,4.0
C7CFAC,EC3CF9,0.0
E73006,BD2783,3.5
817114,84E54B,0.0
EF4110,9D1A47,4.5
9223C2,B52D31,0.0
160B33,B2424B,3.5
DE4105,7D5105,4.0
5D7FF8,6EF830,0.0
6FA6FC,D78AFE,0.0
CF7799,98F4B2,2.5
8EC037,C4B109,0.0
D6B75B,84804D,4.5
670C67,E4804C,0.0
88765C,3604D9,0.0
6397E4,042C78,4.5
6397E4,95F353,0.0
6A0421,8D43D2,0.0
DCC1A9,17A6AC,0.0
DFD1E9,C972D3,3.5
1338B5,801E29,0.0
AAA806,CC1325,5.0
8AADC2,D98843,0.0
F594F9,D21EA0,3.5
2754F4,7154AD,5.0
1328A3,7CCF7D,0.0
6397E4,D4BF1C,5.0
41A948,E5ED65,0.0
B0D9F3,7ED9A8,5.0
DCC1A9,91CC47,4.5
6397E4,72AD5A,4.0
E941F3,9F4FF3,0.0
1A94FB,F7BC96,0.0
1B97B5,40DAD8,4.5
91B406,2CDB84,0.0
C38E32,1C15B0,0.0
2A1779,2F9944,5.0
1BAA9A,D42BC6,3.5
863622,646B56,4.0
92C3AB,B3E467,4.0
166CD6,08AC38,0.0
C997AC,FF098A,3.5
3327FB,694EBE,2.5
1649EE,A60533,0.0
98283D,9D7EFC,0.0
BCA848,E8CAC4,5.0
10E2C7,975ABC,1.5
6397E4,70AD1F,5.0
E1BBDA,73075F,3.5
5DADBB,F71715,3.5
C2EB19,779CDF,3.5
B85388,B3AB41,0.0
2754F4,23C5EA,0.0
F745E3,C4C0C5,2.5
99059F,AF2985,0.0
F0D07B,7CCF7D,0.0
06D0EB,C05CF2,0.0
DD8031,0459E2,2.5
D03DC4,7E53CA,3.0
